gameid,date,season,type,player,team,MIN,FGA,FTA,TOV,PTS,USG%,TS%,eFG%,raptor_offense,raptor_defense,raptor_total,war_total,team5yoffrating,team5yeoff_rating,total_MIN_played,USG,TS,OffStr_1
41800121,2019-04-13,2019,playoff,D'Angelo Russell,BKN,29,25,5,4,26,46.95450174224732,0.4779411764705882,0.44,2.735093554,-0.576171021,2.158922533,6.180959451,115.24583333333334,112.775,148,46.95450174224732,0.4779411764705882,True
41800122,2019-04-15,2019,playoff,D'Angelo Russell,BKN,25,16,1,4,16,33.47146282973622,0.48661800486618,0.46875,2.735093554,-0.576171021,2.158922533,6.180959451,115.24583333333334,112.775,148,33.47146282973622,0.48661800486618,True
41800123,2019-04-18,2019,playoff,D'Angelo Russell,BKN,30,27,0,3,26,37.81645569620253,0.4814814814814814,0.4814814814814814,2.735093554,-0.576171021,2.158922533,6.180959451,115.24583333333334,112.775,148,37.81645569620253,0.4814814814814814,True
41800124,2019-04-20,2019,playoff,D'Angelo Russell,BKN,37,19,5,2,21,25.584237756968115,0.4952830188679245,0.4210526315789473,2.735093554,-0.576171021,2.158922533,6.180959451,115.24583333333334,112.775,148,25.584237756968115,0.4952830188679245,True
41800125,2019-04-23,2019,playoff,D'Angelo Russell,BKN,27,16,2,1,8,26.937853107344633,0.2369668246445497,0.21875,2.735093554,-0.576171021,2.158922533,6.180959451,115.24583333333334,112.775,148,26.937853107344633,0.2369668246445497,True
41800121,2019-04-13,2019,playoff,Jarrett Allen,BKN,10,4,0,1,2,21.82180369431365,0.25,0.25,-1.523007471,-2.805411583,-4.328419054,-1.688439103,115.24583333333334,112.775,110,21.82180369431365,0.25,True
41800122,2019-04-15,2019,playoff,Jarrett Allen,BKN,23,4,4,1,9,12.032411338010336,0.78125,0.75,-1.523007471,-2.805411583,-4.328419054,-1.688439103,115.24583333333334,112.775,110,12.032411338010336,0.78125,True
41800123,2019-04-18,2019,playoff,Jarrett Allen,BKN,21,5,9,3,15,21.53737191078963,0.8370535714285714,0.8,-1.523007471,-2.805411583,-4.328419054,-1.688439103,115.24583333333334,112.775,110,21.53737191078963,0.8370535714285714,True
41800124,2019-04-20,2019,playoff,Jarrett Allen,BKN,32,11,7,2,21,20.503230193811625,0.7457386363636364,0.6363636363636364,-1.523007471,-2.805411583,-4.328419054,-1.688439103,115.24583333333334,112.775,110,20.503230193811625,0.7457386363636364,True
41800125,2019-04-23,2019,playoff,Jarrett Allen,BKN,24,8,0,1,8,15.254237288135592,0.5,0.5,-1.523007471,-2.805411583,-4.328419054,-1.688439103,115.24583333333334,112.775,110,15.254237288135592,0.5,True
